通番,分野,種別,資料（情報）名,"管理部：情報名称
（Control部のTitle）","＜参考＞
データ種類コード（オンライン配信時の電文識別用）",圧縮形式,サイズ(kbyte),,備考,（参考）旧形式（かな漢字形式等）電文のデータ種類コード
,,,,,,,平均,最大,,
1,気象,観測・解析,特殊気象報,季節観測,VGSK50,（非圧縮）,3,5,,ｷｾﾂ
2,気象,観測・解析,生物季節観測報告気象報,生物季節観測,VGSK55,（非圧縮）,3,5,,ｾｲﾌﾞﾂ，ﾌﾞﾅｲｾｲﾌﾞﾂ
3,気象,観測・解析,特殊気象報（トクシユ）,特殊気象報,VGSK60,（非圧縮）,3,5,※①,ﾄｸｼﾕ
6,気象,観測・解析／予報・予測,全般台風情報（総合情報、上陸等情報），発達する熱帯低気圧に関する情報,全般台風情報,VPTI50,GZIP,5,6,※②,ｾﾞﾝｺｸﾀｲﾌｳ11
7,気象,観測・解析／予報・予測,全般台風情報（位置、発生情報），発達する熱帯低気圧に関する情報,全般台風情報（定型）,VPTI51,GZIP,5,6,※②,ｾﾞﾝｺｸﾀｲﾌｳ21
8,気象,観測・解析／予報・予測,全般台風情報（位置詳細）,全般台風情報（詳細）,VPTI52,GZIP,5,6,※②,ｾﾞﾝｺｸﾀｲﾌｳ22
9,気象,観測・解析／予報・予測,台風解析・予報情報電文（新形式）,台風解析・予報情報（３日予報）,VPTWii（ii=40-45）,GZIP,20,100,※②令和3年度に廃止,KFXCii (ii=80-85)
10,気象,観測・解析／予報・予測,台風解析・予報情報（延長予報）電文（新形式）,台風解析・予報情報（５日予報）,VPTWii（ii=50-55）,GZIP,25,120,※②令和3年度に廃止,KFXCii (ii=90-95)
10,気象,観測・解析／予報・予測,台風解析・予報情報（延長予報）電文（新形式）,台風解析・予報情報（５日予報）（Ｈ３０）,VPTWii（ii=60-65）,GZIP,30,150,"※②
「1.3.5  地理空間情報（位置・領域）表記」に記載の例外となる情報",
11,気象,観測・解析／予報・予測,全般海上警報（定時）,全般海上警報（定時）,VPZU50,GZIP,25,110,※②令和3年度に廃止,ｳﾐｹｲﾎｳ1
11,気象,観測・解析／予報・予測,全般海上警報（定時）,全般海上警報（定時）（Ｈ２９）,VPZU52,GZIP,25,110,"※②
「1.3.5  地理空間情報（位置・領域）表記」に記載の例外となる情報",
12,気象,観測・解析／予報・予測,全般海上警報（臨時）,全般海上警報（臨時）,VPZU51,GZIP,25,110,※②令和3年度に廃止,ｳﾐｹｲﾎｳ2
12,気象,観測・解析／予報・予測,全般海上警報（臨時）,全般海上警報（臨時）（Ｈ２９）,VPZU53,GZIP,25,110,"※②
「1.3.5  地理空間情報（位置・領域）表記」に記載の例外となる情報",
13,気象,観測・解析／予報・予測,地方海上警報,地方海上警報,VPCU50,GZIP,15,100,※① 令和2年度に廃止,ﾁﾎｳｳﾐｹｲﾎｳ1
13,気象,観測・解析／予報・予測,地方海上警報,地方海上警報（Ｈ２８）,VPCU51,GZIP,20,100,※①,
14,気象,予報・予測,地方海上予報,地方海上予報,VPCY50,GZIP,50,200,※① 令和2年度に廃止,ﾁﾎｳｳﾐﾖﾎｳ1
14,気象,予報・予測,地方海上予報,地方海上予報（Ｈ２８）,VPCY51,GZIP,60,200,※①,
15,気象,予報・予測,気象特別警報・警報・注意報,気象警報・注意報,VPWW50,GZIP,100,300,※①（VPWW50を令和元年度末に廃止）,ｹｲﾎｳ1，ｹｲﾎｳﾄｸ1，ﾁﾕｳｲﾎｳ1，ｹｲﾎｳ11，ｹｲﾎｳﾄｸ11，ﾁﾕｳｲﾎｳ11， ｹｲﾎｳ13，ｹｲﾎｳ21，ｹｲﾎｳﾄｸ21，ﾁﾕｳｲﾎｳ21，VPWW40
15,気象,予報・予測,気象特別警報・警報・注意報,気象特別警報・警報・注意報,VPWW53,,100,300,,
15,気象,予報・予測,気象特別警報・警報・注意報,気象警報・注意報（Ｈ２７）,VPWW54,,600,"1,500",,
16,気象,予報・予測,指定河川洪水予報,指定河川洪水予報,VXKO（ii=50-89）,GZIP,15,300,※①,ｶｾﾝｺｳｽﾞｲ1、ﾌｹﾝｺｳｽﾞｲii (ii=01-20)
17,気象,予報・予測,土砂災害警戒情報,土砂災害警戒情報,VXWW50,GZIP,15,30,※①,ﾄﾞｼﾔｹｲｶｲ1、VXWW40
18,気象,予報・予測,記録的短時間大雨情報,記録的短時間大雨情報,VPOA50,GZIP,5,15,※①,ｷﾛｸｱﾒ1
